DBHID,PlotName,PlotID,Family,Genus,SpeciesName,Mnemonic,Subspecies,SpeciesID,SubspeciesID,QuadratName,QuadratID,PX,PY,QX,QY,TreeID,Tag,StemID,StemNumber,StemTag,PrimaryStem,CensusID,PlotCensusNumber,DBH,HOM,ExactDate,Date,ListOfTSM,HighHOM,LargeStem,Status
385199,luquillo,1,Rubiaceae,Psychotria,brachiata,PSYBRA,NA,185,NA,621,326,113.95,417.71,13.95,17.71,2051,102322,114489,0,154540,NA,4,4,NA,NA,2006-11-17,17122,SPROUT;LS,1,NA,stem dead
411850,luquillo,1,Lauraceae,Ocotea,leucoxylon,OCOLEU,NA,161,NA,722,343,138.35,425.46,18.35,5.46,109517,156369,144337,0,156369,NA,4,4,16.7,1.3,2006-11-21,17126,MAIN;A,1,NA,alive
608707,luquillo,1,Rubiaceae,Psychotria,brachiata,PSYBRA,NA,185,NA,621,326,104.18,419.88,4.18,19.88,1928,102174,114455,0,154415,NA,6,6,NA,NA,2016-07-21,20656,SPROUT;LS;B,1,NA,broken below
410620,luquillo,1,Piperaceae,Piper,glabrescens,PIPGLA,NA,174,NA,621,326,116.44,414.69,16.44,14.69,108432,154575,143105,0,154575,NA,4,4,NA,NA,2006-11-17,17122,MAIN;DEADT,1,NA,dead
384966,luquillo,1,Araliaceae,Schefflera,morototoni,SCHMOR,NA,196,NA,721,327,138.06,414.37,18.06,14.37,1506,101694,1846,0,101694,NA,4,4,131,1.3,2006-11-22,17127,MAIN;A,1,NA,alive
388083,luquillo,1,Rubiaceae,Psychotria,brachiata,PSYBRA,NA,185,NA,722,343,139,438.34,19,18.34,7684,109021,9535,0,109021,NA,4,4,NA,NA,2006-11-21,17126,MAIN;DEADT,1,NA,dead
480582,luquillo,1,Piperaceae,Piper,glabrescens,PIPGLA,NA,174,NA,721,327,121.42,405.53,1.42,5.53,108540,154717,143244,0,154717,NA,5,5,NA,NA,2012-01-30,19022,MAIN;A;LS;B,1,NA,broken below
608930,luquillo,1,Meliaceae,Trichilia,pallida,TRIPAL,NA,210,NA,622,342,117.61,428.44,17.61,8.44,8485,109988,10597,0,109988,NA,6,6,NA,NA,2016-08-15,20681,MAIN;A;LS;B,1,NA,broken below
611397,luquillo,1,Rubiaceae,Psychotria,brachiata,PSYBRA,NA,185,NA,721,327,120.45,409.75,0.45,9.75,108519,154687,143214,0,154687,NA,6,6,NA,NA,2016-07-27,20662,MAIN;DEADT;B,1,NA,dead
469005,luquillo,1,Burseraceae,Dacryodes,excelsa,DACEXC,NA,99,NA,622,342,111.78,421.32,11.78,1.32,8681,110257,10888,0,110257,NA,5,5,239,1.3,2012-01-31,19023,MAIN;A,1,NA,alive
410763,luquillo,1,Piperaceae,Piper,glabrescens,PIPGLA,NA,174,NA,721,327,123.53,406.39,3.53,6.39,108544,154721,143248,0,154721,NA,4,4,NA,NA,2006-11-20,17125,MAIN;DEADT,1,NA,dead
469056,luquillo,1,Burseraceae,Dacryodes,excelsa,DACEXC,NA,99,NA,622,342,106.99,434.28,6.99,14.28,8827,110443,11084,0,110443,NA,5,5,55,1.3,2012-01-31,19023,MAIN;A,1,NA,alive
411732,luquillo,1,Melastomataceae,Miconia,affinis,MICAFF,NA,143,NA,622,342,114.42,431.52,14.42,11.52,109410,156166,144219,0,156166,NA,4,4,40.7,1.3,2006-11-17,17122,MAIN;A,1,NA,alive
481063,luquillo,1,Lauraceae,Ocotea,leucoxylon,OCOLEU,NA,161,NA,722,343,130.54,430.99,10.54,10.99,109488,156323,144304,0,156323,NA,5,5,18.2,1.3,2012-02-01,19024,MAIN;A;ST,1,NA,alive
611665,luquillo,1,Meliaceae,Trichilia,pallida,TRIPAL,NA,210,NA,722,343,138.68,425.26,18.68,5.26,7624,108958,9464,0,108958,NA,6,6,NA,NA,2016-08-16,20682,MAIN;A;LS;B,1,NA,broken below
